record_type,student_id,program,cohort_year,course_id,term,section,session_date,attendance_status,assignment_id,due_date,submitted_at,score,max_score,assessment_date,assessment_type,action_date,action_type,outcome_note,staff_user
student,STU-1001,Computer Science,2024,,,,,,,,,,,,,,,,
student,STU-1002,Data Analytics,2025,,,,,,,,,,,,,,,,
student,STU-1003,Software Engineering,2026,,,,,,,,,,,,,,,,
student,STU-1004,Information Systems,2024,,,,,,,,,,,,,,,,
student,STU-1005,Computer Science,2025,,,,,,,,,,,,,,,,
student,STU-1006,Data Analytics,2026,,,,,,,,,,,,,,,,
student,STU-1007,Software Engineering,2024,,,,,,,,,,,,,,,,
student,STU-1008,Information Systems,2025,,,,,,,,,,,,,,,,
student,STU-1009,Computer Science,2026,,,,,,,,,,,,,,,,
student,STU-1010,Data Analytics,2024,,,,,,,,,,,,,,,,
student,STU-1011,Software Engineering,2025,,,,,,,,,,,,,,,,
student,STU-1012,Information Systems,2026,,,,,,,,,,,,,,,,
student,STU-1013,Computer Science,2024,,,,,,,,,,,,,,,,
student,STU-1014,Data Analytics,2025,,,,,,,,,,,,,,,,
student,STU-1015,Software Engineering,2026,,,,,,,,,,,,,,,,
student,STU-1016,Information Systems,2024,,,,,,,,,,,,,,,,
student,STU-1017,Computer Science,2025,,,,,,,,,,,,,,,,
student,STU-1018,Data Analytics,2026,,,,,,,,,,,,,,,,
student,STU-1019,Software Engineering,2024,,,,,,,,,,,,,,,,
student,STU-1020,Information Systems,2025,,,,,,,,,,,,,,,,
student,STU-1021,Computer Science,2026,,,,,,,,,,,,,,,,
student,STU-1022,Data Analytics,2024,,,,,,,,,,,,,,,,
student,STU-1023,Software Engineering,2025,,,,,,,,,,,,,,,,
student,STU-1024,Information Systems,2026,,,,,,,,,,,,,,,,
student,STU-1025,Computer Science,2024,,,,,,,,,,,,,,,,
student,STU-1026,Data Analytics,2025,,,,,,,,,,,,,,,,
student,STU-1027,Software Engineering,2026,,,,,,,,,,,,,,,,
student,STU-1028,Information Systems,2024,,,,,,,,,,,,,,,,
student,STU-1029,Computer Science,2025,,,,,,,,,,,,,,,,
student,STU-1030,Data Analytics,2026,,,,,,,,,,,,,,,,
enrolment,STU-1001,,,DATA-101,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1002,,,DATA-101,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1003,,,DATA-101,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1004,,,DATA-101,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1005,,,DATA-101,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1006,,,DATA-101,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1007,,,DATA-101,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1008,,,DATA-101,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1009,,,DATA-101,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1010,,,DATA-101,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1011,,,CS-204,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1012,,,CS-204,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1013,,,CS-204,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1014,,,CS-204,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1015,,,CS-204,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1016,,,CS-204,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1017,,,CS-204,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1018,,,CS-204,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1019,,,CS-204,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1020,,,CS-204,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1021,,,STAT-301,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1022,,,STAT-301,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1023,,,STAT-301,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1024,,,STAT-301,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1025,,,STAT-301,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1026,,,STAT-301,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1027,,,STAT-301,Fall 2026,Section C,,,,,,,,,,,,,
enrolment,STU-1028,,,STAT-301,Fall 2026,Section A,,,,,,,,,,,,,
enrolment,STU-1029,,,STAT-301,Fall 2026,Section B,,,,,,,,,,,,,
enrolment,STU-1030,,,STAT-301,Fall 2026,Section C,,,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
