student_id,course_id,session_date,attendance_status
STU-1001,DATA-101,2026-01-13,UnknownStatus
STU-1001,DATA-101,2026-99-99,Present
STU-1001,DATA-101,2026-01-20,Absent
STU-1001,DATA-101,2026-01-22,Excused
STU-1001,DATA-101,2026-01-27,Absent
STU-1001,DATA-101,2026-01-29,Present
STU-1001,DATA-101,2026-02-03,Present
STU-1001,DATA-101,2026-02-05,Present
STU-1001,DATA-101,2026-02-10,Excused
STU-1001,DATA-101,2026-02-12,Absent
STU-1001,DATA-101,2026-02-17,Present
STU-1001,DATA-101,2026-02-19,Absent
STU-1001,DATA-101,2026-02-24,Present
STU-1001,DATA-101,2026-02-26,Present
STU-1001,DATA-101,2026-03-03,Present
STU-1001,DATA-101,2026-03-05,Absent
STU-1001,DATA-101,2026-03-10,Absent
STU-1001,DATA-101,2026-03-12,Present
STU-1001,DATA-101,2026-03-17,Present
STU-1001,DATA-101,2026-03-19,Absent
STU-1001,CS-204,2026-01-13,Absent
STU-1001,CS-204,2026-01-15,Present
STU-1001,CS-204,2026-01-20,Present
STU-1001,CS-204,2026-01-22,Present
STU-1001,CS-204,2026-01-27,Present
STU-1001,CS-204,2026-01-29,Present
STU-1001,CS-204,2026-02-03,Present
STU-1001,CS-204,2026-02-05,Absent
STU-1001,CS-204,2026-02-10,Present
STU-1001,CS-204,2026-02-12,Present
STU-1001,CS-204,2026-02-17,Present
STU-1001,CS-204,2026-02-19,Excused
STU-1001,CS-204,2026-02-24,Present
STU-1001,CS-204,2026-02-26,Absent
STU-1001,CS-204,2026-03-03,Present
STU-1001,CS-204,2026-03-05,Present
STU-1001,CS-204,2026-03-10,Absent
STU-1001,CS-204,2026-03-12,Absent
STU-1001,CS-204,2026-03-17,Absent
STU-1001,CS-204,2026-03-19,Present
STU-1001,STAT-301,2026-08-25,Absent
STU-1001,STAT-301,2026-08-27,Present
STU-1001,STAT-301,2026-09-01,Present
STU-1001,STAT-301,2026-09-03,Absent
STU-1001,STAT-301,2026-09-08,Present
STU-1001,STAT-301,2026-09-10,Present
STU-1001,STAT-301,2026-09-15,Present
STU-1001,STAT-301,2026-09-17,Present
STU-1001,STAT-301,2026-09-22,Absent
STU-1001,STAT-301,2026-09-24,Present
