student_id,program,cohort_year
STU-1001,Cybersecurity,2023
STU-1002,Computer Science,2025
STU-1003,Data Analytics,2024
STU-1004,Data Analytics,2023
STU-1005,Cybersecurity,2023
STU-1006,Applied Mathematics,2026
STU-1007,Computer Science,2023
STU-1008,Computer Science,2024
STU-1009,Data Analytics,2023
STU-1010,Applied Mathematics,2024
STU-1011,Cybersecurity,2026
STU-1012,Data Analytics,2026
STU-1013,Applied Mathematics,2025
STU-1014,Computer Science,2024
STU-1015,Cybersecurity,2026
STU-1016,Information Systems,2025
STU-1017,Data Analytics,2024
STU-1018,Information Systems,2023
STU-1019,Computer Science,2026
STU-1020,Computer Science,2025
STU-1001,Data Analytics,2026
