student_id,course_id,term,section
STU-NONEXISTENT-9999,DATA-101,Spring 2026,Section A
STU-1001,CS-204,Spring 2026,Section B
STU-1001,STAT-301,Fall 2026,Section A
STU-1002,STAT-301,Spring 2026,Section C
STU-1002,DATA-101,Fall 2026,Section C
STU-1002,CS-204,Fall 2026,Section A
STU-1003,DATA-101,Spring 2026,Section A
STU-1003,STAT-301,Spring 2026,Section C
STU-1003,CS-204,Spring 2026,Section B
STU-1004,DATA-101,Fall 2026,Section A
STU-1004,STAT-301,Spring 2026,Section A
STU-1005,MATH-150,Fall 2026,Section B
STU-1005,DATA-101,Spring 2026,Section B
STU-1006,MATH-150,Spring 2026,Section B
STU-1006,STAT-301,Fall 2026,Section A
STU-1006,CS-204,Fall 2026,Section A
STU-1007,STAT-301,Spring 2026,Section C
STU-1007,MATH-150,Fall 2026,Section A
STU-1007,DATA-101,Spring 2026,Section A
STU-1008,CS-204,Spring 2026,Section B
STU-1008,STAT-301,Spring 2026,Section C
STU-1009,MATH-150,Spring 2026,Section B
STU-1009,CS-204,Fall 2026,Section A
STU-1009,STAT-301,Fall 2026,Section A
STU-1010,DATA-101,Fall 2026,Section A
STU-1010,MATH-150,Fall 2026,Section B
STU-1011,CS-204,Spring 2026,Section C
STU-1011,STAT-301,Fall 2026,Section A
STU-1011,DATA-101,Spring 2026,Section B
STU-1012,MATH-150,Fall 2026,Section A
