student_id,course_id,term,section,attendance_rate,recent_attendance_rate,submission_completion_rate,late_submission_rate,assignment_average,assessment_average,missing_assignments,engagement_trend,total_sessions,present_sessions,excused_sessions,absent_sessions,total_assignments,submitted_assignments,late_assignments,calculated_at
STU-1001,DATA-101,Spring 2026,Section A,55.6,55.6,75.0,33.3,36.8,52.8,1,stable,20,10,2,8,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1001,CS-204,Spring 2026,Section B,68.4,68.4,50.0,0.0,26.6,46.8,2,declining,20,13,1,6,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1001,STAT-301,Fall 2026,Section A,73.7,80.0,50.0,0.0,22.7,43.6,2,declining,20,14,1,5,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1002,STAT-301,Spring 2026,Section C,100.0,100.0,100.0,0.0,88.8,92.8,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1002,DATA-101,Fall 2026,Section C,100.0,100.0,100.0,0.0,93.9,90.0,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1002,CS-204,Fall 2026,Section A,100.0,100.0,100.0,0.0,92.7,92.2,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1003,DATA-101,Spring 2026,Section A,100.0,100.0,100.0,0.0,95.2,91.9,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1003,STAT-301,Spring 2026,Section C,100.0,100.0,100.0,0.0,91.7,94.1,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1003,CS-204,Spring 2026,Section B,100.0,100.0,100.0,0.0,91.0,96.8,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1004,DATA-101,Fall 2026,Section A,97.5,100.0,100.0,0.0,80.0,91.6,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1004,STAT-301,Spring 2026,Section A,97.5,97.5,100.0,0.0,85.2,87.0,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1005,MATH-150,Fall 2026,Section B,90.0,80.0,100.0,25.0,81.6,90.1,0,stable,20,16,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1005,DATA-101,Spring 2026,Section B,100.0,100.0,75.0,0.0,65.2,92.6,1,stable,20,20,0,0,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1006,MATH-150,Spring 2026,Section B,92.1,92.1,100.0,25.0,67.3,67.0,0,stable,20,17,1,1,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1006,STAT-301,Fall 2026,Section A,84.2,60.0,100.0,0.0,63.6,72.8,0,declining,20,15,1,2,4,4,0,2026-09-01T04:26:00.647836+00:00
