student_id,course_id,assignment_id,due_date,submitted_at,score,max_score
STU-1001,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-10 21:59:59,89.9,100.0
STU-1001,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-24 18:59:59,84.1,100.0
STU-1001,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-15 16:59:59,88.3,100.0
STU-1001,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-27 21:59:59,84.7,100.0
STU-1002,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-08 18:59:59,96.1,100.0
STU-1002,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-22 18:59:59,93.3,100.0
STU-1002,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-14 16:59:59,97.3,100.0
STU-1002,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-29 21:59:59,84.8,100.0
STU-1003,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-10 19:59:59,82.2,100.0
STU-1003,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-24 18:59:59,86.5,100.0
STU-1003,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-15 16:59:59,90.6,100.0
STU-1003,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-28 20:59:59,93.0,100.0
STU-1004,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-11 15:59:59,96.4,100.0
STU-1004,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-22 16:59:59,88.4,100.0
STU-1004,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-16 15:59:59,92.1,100.0
STU-1004,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-30 19:59:59,83.1,100.0
STU-1005,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-10 15:59:59,84.6,100.0
STU-1005,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-23 22:59:59,83.6,100.0
STU-1005,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-15 21:59:59,97.2,100.0
STU-1005,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-30 21:59:59,96.0,100.0
STU-1006,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-08 20:59:59,92.2,100.0
STU-1006,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-23 17:59:59,89.6,100.0
STU-1006,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-16 15:59:59,97.9,100.0
STU-1006,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-27 15:59:59,89.7,100.0
STU-1007,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-11 20:59:59,83.6,100.0
STU-1007,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-23 18:59:59,89.7,100.0
STU-1007,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-15 22:59:59,85.3,100.0
STU-1007,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-28 20:59:59,93.0,100.0
STU-1008,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-11 18:59:59,97.7,100.0
STU-1008,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-25 18:59:59,90.3,100.0
STU-1008,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-15 17:59:59,94.4,100.0
STU-1008,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-28 19:59:59,91.8,100.0
STU-1009,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-10 19:59:59,95.1,100.0
STU-1009,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-24 19:59:59,90.3,100.0
STU-1009,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-14 22:59:59,97.8,100.0
STU-1009,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-28 15:59:59,86.1,100.0
STU-1010,DATA-101,DATA-101-A01,2026-09-12 23:59:59,2026-09-09 15:59:59,94.9,100.0
STU-1010,DATA-101,DATA-101-A02,2026-09-26 23:59:59,2026-09-23 17:59:59,83.3,100.0
STU-1010,DATA-101,DATA-101-A03,2026-10-17 23:59:59,2026-10-16 19:59:59,89.5,100.0
STU-1010,DATA-101,DATA-101-A04,2026-10-31 23:59:59,2026-10-28 19:59:59,89.7,100.0
STU-1011,CS-204,CS-204-A01,2026-09-12 23:59:59,2026-09-11 15:59:59,96.5,100.0
STU-1011,CS-204,CS-204-A02,2026-09-26 23:59:59,2026-09-23 21:59:59,95.4,100.0
STU-1011,CS-204,CS-204-A03,2026-10-17 23:59:59,2026-10-16 16:59:59,94.5,100.0
STU-1011,CS-204,CS-204-A04,2026-10-31 23:59:59,2026-10-29 15:59:59,96.2,100.0
STU-1012,CS-204,CS-204-A01,2026-09-12 23:59:59,2026-09-08 17:59:59,83.4,100.0
STU-1012,CS-204,CS-204-A02,2026-09-26 23:59:59,2026-09-22 15:59:59,88.4,100.0
STU-1012,CS-204,CS-204-A03,2026-10-17 23:59:59,2026-10-16 20:59:59,84.7,100.0
STU-1012,CS-204,CS-204-A04,2026-10-31 23:59:59,2026-10-29 22:59:59,84.4,100.0
STU-1013,CS-204,CS-204-A01,2026-09-12 23:59:59,2026-09-08 20:59:59,91.8,100.0
STU-1013,CS-204,CS-204-A02,2026-09-26 23:59:59,2026-09-22 17:59:59,84.5,100.0
STU-1013,CS-204,CS-204-A03,2026-10-17 23:59:59,2026-10-15 22:59:59,82.2,100.0
