student_id,course_id,assessment_date,assessment_type,score,max_score
STU-1001,DATA-101,2026-09-10,Quiz 1,87.4,100.0
STU-1001,DATA-101,2026-09-30,Midterm Exam,90.8,100.0
STU-1001,DATA-101,2026-10-15,Quiz 2,96.8,100.0
STU-1001,DATA-101,2026-11-05,Final Exam,86.3,100.0
STU-1002,DATA-101,2026-09-10,Quiz 1,84.1,100.0
STU-1002,DATA-101,2026-09-30,Midterm Exam,90.4,100.0
STU-1002,DATA-101,2026-10-15,Quiz 2,85.8,100.0
STU-1002,DATA-101,2026-11-05,Final Exam,83.8,100.0
STU-1003,DATA-101,2026-09-10,Quiz 1,84.6,100.0
STU-1003,DATA-101,2026-09-30,Midterm Exam,82.8,100.0
STU-1003,DATA-101,2026-10-15,Quiz 2,85.2,100.0
STU-1003,DATA-101,2026-11-05,Final Exam,87.0,100.0
STU-1004,DATA-101,2026-09-10,Quiz 1,86.9,100.0
STU-1004,DATA-101,2026-09-30,Midterm Exam,94.2,100.0
STU-1004,DATA-101,2026-10-15,Quiz 2,86.6,100.0
STU-1004,DATA-101,2026-11-05,Final Exam,90.0,100.0
STU-1005,DATA-101,2026-09-10,Quiz 1,84.8,100.0
STU-1005,DATA-101,2026-09-30,Midterm Exam,87.6,100.0
STU-1005,DATA-101,2026-10-15,Quiz 2,82.3,100.0
STU-1005,DATA-101,2026-11-05,Final Exam,86.0,100.0
STU-1006,DATA-101,2026-09-10,Quiz 1,82.2,100.0
STU-1006,DATA-101,2026-09-30,Midterm Exam,93.7,100.0
STU-1006,DATA-101,2026-10-15,Quiz 2,90.8,100.0
STU-1006,DATA-101,2026-11-05,Final Exam,85.0,100.0
STU-1007,DATA-101,2026-09-10,Quiz 1,89.6,100.0
STU-1007,DATA-101,2026-09-30,Midterm Exam,97.0,100.0
STU-1007,DATA-101,2026-10-15,Quiz 2,83.7,100.0
STU-1007,DATA-101,2026-11-05,Final Exam,95.1,100.0
STU-1008,DATA-101,2026-09-10,Quiz 1,88.9,100.0
STU-1008,DATA-101,2026-09-30,Midterm Exam,89.9,100.0
STU-1008,DATA-101,2026-10-15,Quiz 2,95.4,100.0
STU-1008,DATA-101,2026-11-05,Final Exam,88.3,100.0
STU-1009,DATA-101,2026-09-10,Quiz 1,90.1,100.0
STU-1009,DATA-101,2026-09-30,Midterm Exam,93.0,100.0
STU-1009,DATA-101,2026-10-15,Quiz 2,97.7,100.0
STU-1009,DATA-101,2026-11-05,Final Exam,87.5,100.0
STU-1010,DATA-101,2026-09-10,Quiz 1,95.3,100.0
STU-1010,DATA-101,2026-09-30,Midterm Exam,93.3,100.0
STU-1010,DATA-101,2026-10-15,Quiz 2,92.2,100.0
STU-1010,DATA-101,2026-11-05,Final Exam,88.5,100.0
STU-1011,CS-204,2026-09-10,Quiz 1,87.6,100.0
STU-1011,CS-204,2026-09-30,Midterm Exam,82.9,100.0
STU-1011,CS-204,2026-10-15,Quiz 2,84.1,100.0
STU-1011,CS-204,2026-11-05,Final Exam,83.1,100.0
STU-1012,CS-204,2026-09-10,Quiz 1,93.9,100.0
STU-1012,CS-204,2026-09-30,Midterm Exam,86.1,100.0
STU-1012,CS-204,2026-10-15,Quiz 2,84.6,100.0
STU-1012,CS-204,2026-11-05,Final Exam,83.4,100.0
STU-1013,CS-204,2026-09-10,Quiz 1,95.5,100.0
STU-1013,CS-204,2026-09-30,Midterm Exam,95.9,100.0
STU-1013,CS-204,2026-10-15,Quiz 2,92.7,100.0
STU-1013,CS-204,2026-11-05,Final Exam,86.5,100.0
STU-1014,CS-204,2026-09-10,Quiz 1,85.9,100.0
STU-1014,CS-204,2026-09-30,Midterm Exam,86.7,100.0
STU-1014,CS-204,2026-10-15,Quiz 2,89.4,100.0
STU-1014,CS-204,2026-11-05,Final Exam,84.5,100.0
STU-1015,CS-204,2026-09-10,Quiz 1,89.1,100.0
STU-1015,CS-204,2026-09-30,Midterm Exam,86.2,100.0
STU-1015,CS-204,2026-10-15,Quiz 2,97.4,100.0
STU-1015,CS-204,2026-11-05,Final Exam,97.6,100.0
STU-1016,CS-204,2026-09-10,Quiz 1,90.8,100.0
STU-1016,CS-204,2026-09-30,Midterm Exam,85.9,100.0
STU-1016,CS-204,2026-10-15,Quiz 2,97.5,100.0
STU-1016,CS-204,2026-11-05,Final Exam,87.0,100.0
STU-1017,CS-204,2026-09-10,Quiz 1,87.7,100.0
STU-1017,CS-204,2026-09-30,Midterm Exam,82.0,100.0
STU-1017,CS-204,2026-10-15,Quiz 2,88.1,100.0
STU-1017,CS-204,2026-11-05,Final Exam,89.6,100.0
STU-1018,CS-204,2026-09-10,Quiz 1,90.0,100.0
STU-1018,CS-204,2026-09-30,Midterm Exam,85.2,100.0
STU-1018,CS-204,2026-10-15,Quiz 2,90.1,100.0
STU-1018,CS-204,2026-11-05,Final Exam,82.1,100.0
STU-1019,CS-204,2026-09-10,Quiz 1,64.0,100.0
STU-1019,CS-204,2026-09-30,Midterm Exam,61.3,100.0
