student_id,program,cohort_year
STU-1001,Cybersecurity,2023
STU-1002,Computer Science,2025
STU-1003,Data Analytics,2024
STU-1004,Data Analytics,2023
STU-1005,Cybersecurity,2023
STU-1006,Applied Mathematics,2026
STU-1007,Computer Science,2023
STU-1008,Computer Science,2024
STU-1009,Data Analytics,2023
STU-1010,Applied Mathematics,2024
STU-1011,Cybersecurity,2026
STU-1012,Data Analytics,2026
STU-1013,Applied Mathematics,2025
STU-1014,Computer Science,2024
STU-1015,Cybersecurity,2026
STU-1016,Information Systems,2025
STU-1017,Data Analytics,2024
STU-1018,Information Systems,2023
STU-1019,Computer Science,2026
STU-1020,Computer Science,2025
STU-1021,Information Systems,2025
STU-1022,Computer Science,2026
STU-1023,Applied Mathematics,2023
STU-1024,Software Engineering,2023
STU-1025,Applied Mathematics,2025
STU-1026,Cybersecurity,2025
STU-1027,Applied Mathematics,2024
STU-1028,Cybersecurity,2023
STU-1029,Computer Science,2024
STU-1030,Information Systems,2023
STU-1031,Data Analytics,2023
STU-1032,Software Engineering,2025
STU-1033,Software Engineering,2025
STU-1034,Data Analytics,2025
STU-1035,Information Systems,2024
STU-1036,Cybersecurity,2025
STU-1037,Cybersecurity,2023
STU-1038,Applied Mathematics,2024
STU-1039,Applied Mathematics,2024
STU-1040,Data Analytics,2026
STU-1041,Software Engineering,2025
STU-1042,Cybersecurity,2024
STU-1043,Cybersecurity,2025
STU-1044,Computer Science,2024
STU-1045,Computer Science,2025
STU-1046,Software Engineering,2025
STU-1047,Computer Science,2024
STU-1048,Applied Mathematics,2025
STU-1049,Data Analytics,2026
STU-1050,Software Engineering,2026
STU-1051,Data Analytics,2025
STU-1052,Data Analytics,2024
STU-1053,Cybersecurity,2025
STU-1054,Cybersecurity,2026
STU-1055,Applied Mathematics,2026
STU-1056,Information Systems,2024
STU-1057,Data Analytics,2026
STU-1058,Computer Science,2023
STU-1059,Computer Science,2024
STU-1060,Cybersecurity,2024
STU-1061,Cybersecurity,2026
STU-1062,Applied Mathematics,2023
STU-1063,Software Engineering,2026
STU-1064,Applied Mathematics,2026
STU-1065,Applied Mathematics,2025
STU-1066,Applied Mathematics,2023
STU-1067,Cybersecurity,2023
STU-1068,Cybersecurity,2025
STU-1069,Cybersecurity,2025
STU-1070,Computer Science,2025
STU-1071,Software Engineering,2024
STU-1072,Software Engineering,2023
STU-1073,Cybersecurity,2025
STU-1074,Applied Mathematics,2024
STU-1075,Applied Mathematics,2023
STU-1076,Cybersecurity,2025
STU-1077,Cybersecurity,2024
STU-1078,Data Analytics,2025
STU-1079,Data Analytics,2023
STU-1080,Applied Mathematics,2025
STU-1081,Software Engineering,2023
STU-1082,Computer Science,2025
