student_id,course_id,session_date,attendance_status
STU-1001,DATA-101,2026-09-03,Present
STU-1001,DATA-101,2026-09-10,Present
STU-1001,DATA-101,2026-09-17,Present
STU-1001,DATA-101,2026-09-24,Present
STU-1001,DATA-101,2026-10-01,Present
STU-1001,DATA-101,2026-10-08,Present
STU-1001,DATA-101,2026-10-15,Present
STU-1001,DATA-101,2026-10-22,Present
STU-1001,DATA-101,2026-10-29,Present
STU-1001,DATA-101,2026-11-05,Present
STU-1002,DATA-101,2026-09-03,Present
STU-1002,DATA-101,2026-09-10,Present
STU-1002,DATA-101,2026-09-17,Present
STU-1002,DATA-101,2026-09-24,Present
STU-1002,DATA-101,2026-10-01,Present
STU-1002,DATA-101,2026-10-08,Present
STU-1002,DATA-101,2026-10-15,Present
STU-1002,DATA-101,2026-10-22,Present
STU-1002,DATA-101,2026-10-29,Present
STU-1002,DATA-101,2026-11-05,Present
STU-1003,DATA-101,2026-09-03,Present
STU-1003,DATA-101,2026-09-10,Present
STU-1003,DATA-101,2026-09-17,Present
STU-1003,DATA-101,2026-09-24,Present
STU-1003,DATA-101,2026-10-01,Present
STU-1003,DATA-101,2026-10-08,Present
STU-1003,DATA-101,2026-10-15,Present
STU-1003,DATA-101,2026-10-22,Present
STU-1003,DATA-101,2026-10-29,Present
STU-1003,DATA-101,2026-11-05,Present
STU-1004,DATA-101,2026-09-03,Present
STU-1004,DATA-101,2026-09-10,Present
STU-1004,DATA-101,2026-09-17,Present
STU-1004,DATA-101,2026-09-24,Present
STU-1004,DATA-101,2026-10-01,Present
STU-1004,DATA-101,2026-10-08,Present
STU-1004,DATA-101,2026-10-15,Present
STU-1004,DATA-101,2026-10-22,Present
STU-1004,DATA-101,2026-10-29,Present
STU-1004,DATA-101,2026-11-05,Present
STU-1005,DATA-101,2026-09-03,Present
STU-1005,DATA-101,2026-09-10,Present
STU-1005,DATA-101,2026-09-17,Present
STU-1005,DATA-101,2026-09-24,Present
STU-1005,DATA-101,2026-10-01,Present
STU-1005,DATA-101,2026-10-08,Present
STU-1005,DATA-101,2026-10-15,Present
STU-1005,DATA-101,2026-10-22,Present
STU-1005,DATA-101,2026-10-29,Present
STU-1005,DATA-101,2026-11-05,Present
STU-1006,DATA-101,2026-09-03,Present
STU-1006,DATA-101,2026-09-10,Present
STU-1006,DATA-101,2026-09-17,Present
STU-1006,DATA-101,2026-09-24,Present
STU-1006,DATA-101,2026-10-01,Present
STU-1006,DATA-101,2026-10-08,Present
STU-1006,DATA-101,2026-10-15,Present
STU-1006,DATA-101,2026-10-22,Present
STU-1006,DATA-101,2026-10-29,Present
STU-1006,DATA-101,2026-11-05,Present
STU-1007,DATA-101,2026-09-03,Present
STU-1007,DATA-101,2026-09-10,Present
STU-1007,DATA-101,2026-09-17,Present
STU-1007,DATA-101,2026-09-24,Present
STU-1007,DATA-101,2026-10-01,Present
STU-1007,DATA-101,2026-10-08,Present
STU-1007,DATA-101,2026-10-15,Present
STU-1007,DATA-101,2026-10-22,Present
STU-1007,DATA-101,2026-10-29,Present
STU-1007,DATA-101,2026-11-05,Present
STU-1008,DATA-101,2026-09-03,Present
STU-1008,DATA-101,2026-09-10,Present
STU-1008,DATA-101,2026-09-17,Present
STU-1008,DATA-101,2026-09-24,Present
STU-1008,DATA-101,2026-10-01,Present
STU-1008,DATA-101,2026-10-08,Present
STU-1008,DATA-101,2026-10-15,Present
STU-1008,DATA-101,2026-10-22,Present
STU-1008,DATA-101,2026-10-29,Present
STU-1008,DATA-101,2026-11-05,Present
STU-1009,DATA-101,2026-09-03,Present
STU-1009,DATA-101,2026-09-10,Present
STU-1009,DATA-101,2026-09-17,Present
STU-1009,DATA-101,2026-09-24,Present
STU-1009,DATA-101,2026-10-01,Present
STU-1009,DATA-101,2026-10-08,Present
STU-1009,DATA-101,2026-10-15,Present
STU-1009,DATA-101,2026-10-22,Present
STU-1009,DATA-101,2026-10-29,Present
STU-1009,DATA-101,2026-11-05,Present
STU-1010,DATA-101,2026-09-03,Present
STU-1010,DATA-101,2026-09-10,Present
STU-1010,DATA-101,2026-09-17,Present
STU-1010,DATA-101,2026-09-24,Present
STU-1010,DATA-101,2026-10-01,Present
STU-1010,DATA-101,2026-10-08,Present
STU-1010,DATA-101,2026-10-15,Present
STU-1010,DATA-101,2026-10-22,Present
STU-1010,DATA-101,2026-10-29,Present
STU-1010,DATA-101,2026-11-05,Present
STU-1011,CS-204,2026-09-03,Present
STU-1011,CS-204,2026-09-10,Present
STU-1011,CS-204,2026-09-17,Present
STU-1011,CS-204,2026-09-24,Present
STU-1011,CS-204,2026-10-01,Present
STU-1011,CS-204,2026-10-08,Present
STU-1011,CS-204,2026-10-15,Present
STU-1011,CS-204,2026-10-22,Present
STU-1011,CS-204,2026-10-29,Present
STU-1011,CS-204,2026-11-05,Present
STU-1012,CS-204,2026-09-03,Present
STU-1012,CS-204,2026-09-10,Present
STU-1012,CS-204,2026-09-17,Present
STU-1012,CS-204,2026-09-24,Present
STU-1012,CS-204,2026-10-01,Present
STU-1012,CS-204,2026-10-08,Present
STU-1012,CS-204,2026-10-15,Present
STU-1012,CS-204,2026-10-22,Present
STU-1012,CS-204,2026-10-29,Present
STU-1012,CS-204,2026-11-05,Present
STU-1013,CS-204,2026-09-03,Present
STU-1013,CS-204,2026-09-10,Present
STU-1013,CS-204,2026-09-17,Present
STU-1013,CS-204,2026-09-24,Present
STU-1013,CS-204,2026-10-01,Present
STU-1013,CS-204,2026-10-08,Present
STU-1013,CS-204,2026-10-15,Present
STU-1013,CS-204,2026-10-22,Present
STU-1013,CS-204,2026-10-29,Present
STU-1013,CS-204,2026-11-05,Present
STU-1014,CS-204,2026-09-03,Present
STU-1014,CS-204,2026-09-10,Present
STU-1014,CS-204,2026-09-17,Present
STU-1014,CS-204,2026-09-24,Present
STU-1014,CS-204,2026-10-01,Present
STU-1014,CS-204,2026-10-08,Present
STU-1014,CS-204,2026-10-15,Present
STU-1014,CS-204,2026-10-22,Present
STU-1014,CS-204,2026-10-29,Present
STU-1014,CS-204,2026-11-05,Present
STU-1015,CS-204,2026-09-03,Present
STU-1015,CS-204,2026-09-10,Present
STU-1015,CS-204,2026-09-17,Present
STU-1015,CS-204,2026-09-24,Present
STU-1015,CS-204,2026-10-01,Present
