student_id,course_id,term,section
STU-1001,DATA-101,Spring 2026,Section A
STU-1001,CS-204,Spring 2026,Section B
STU-1001,STAT-301,Fall 2026,Section A
STU-1002,STAT-301,Spring 2026,Section C
STU-1002,DATA-101,Fall 2026,Section C
STU-1002,CS-204,Fall 2026,Section A
STU-1003,DATA-101,Spring 2026,Section A
STU-1003,STAT-301,Spring 2026,Section C
STU-1003,CS-204,Spring 2026,Section B
STU-1004,DATA-101,Fall 2026,Section A
STU-1004,STAT-301,Spring 2026,Section A
STU-1005,MATH-150,Fall 2026,Section B
STU-1005,DATA-101,Spring 2026,Section B
STU-1006,MATH-150,Spring 2026,Section B
STU-1006,STAT-301,Fall 2026,Section A
STU-1006,CS-204,Fall 2026,Section A
STU-1007,STAT-301,Spring 2026,Section C
STU-1007,MATH-150,Fall 2026,Section A
STU-1007,DATA-101,Spring 2026,Section A
STU-1008,CS-204,Spring 2026,Section B
STU-1008,STAT-301,Spring 2026,Section C
STU-1009,MATH-150,Spring 2026,Section B
STU-1009,CS-204,Fall 2026,Section A
STU-1009,STAT-301,Fall 2026,Section A
STU-1010,DATA-101,Fall 2026,Section A
STU-1010,MATH-150,Fall 2026,Section B
STU-1011,CS-204,Spring 2026,Section C
STU-1011,STAT-301,Fall 2026,Section A
STU-1011,DATA-101,Spring 2026,Section B
STU-1012,MATH-150,Fall 2026,Section A
STU-1012,CS-204,Fall 2026,Section A
STU-1013,MATH-150,Fall 2026,Section B
STU-1013,CS-204,Fall 2026,Section A
STU-1013,STAT-301,Spring 2026,Section C
STU-1014,DATA-101,Fall 2026,Section A
STU-1014,CS-204,Spring 2026,Section B
STU-1015,STAT-301,Spring 2026,Section B
STU-1015,DATA-101,Spring 2026,Section C
STU-1016,MATH-150,Fall 2026,Section B
STU-1016,DATA-101,Spring 2026,Section C
STU-1016,STAT-301,Fall 2026,Section B
STU-1017,MATH-150,Spring 2026,Section C
STU-1017,CS-204,Spring 2026,Section B
STU-1017,DATA-101,Spring 2026,Section A
STU-1018,STAT-301,Fall 2026,Section B
STU-1018,MATH-150,Spring 2026,Section B
STU-1019,CS-204,Spring 2026,Section C
STU-1019,STAT-301,Spring 2026,Section A
STU-1020,MATH-150,Spring 2026,Section B
STU-1020,CS-204,Fall 2026,Section C
STU-1021,STAT-301,Fall 2026,Section C
STU-1021,MATH-150,Spring 2026,Section A
STU-1022,CS-204,Spring 2026,Section A
STU-1022,DATA-101,Spring 2026,Section B
STU-1023,CS-204,Fall 2026,Section A
STU-1023,DATA-101,Spring 2026,Section B
STU-1024,CS-204,Fall 2026,Section A
STU-1024,DATA-101,Spring 2026,Section B
STU-1025,CS-204,Fall 2026,Section B
STU-1025,DATA-101,Spring 2026,Section B
STU-1026,DATA-101,Spring 2026,Section A
STU-1026,STAT-301,Fall 2026,Section C
STU-1027,MATH-150,Fall 2026,Section A
STU-1027,CS-204,Fall 2026,Section C
STU-1028,DATA-101,Fall 2026,Section A
STU-1028,MATH-150,Spring 2026,Section A
STU-1029,STAT-301,Spring 2026,Section C
STU-1029,MATH-150,Fall 2026,Section A
STU-1029,CS-204,Spring 2026,Section B
STU-1030,DATA-101,Spring 2026,Section B
STU-1030,MATH-150,Fall 2026,Section A
STU-1031,STAT-301,Fall 2026,Section A
STU-1031,CS-204,Spring 2026,Section B
STU-1032,MATH-150,Fall 2026,Section C
STU-1032,CS-204,Spring 2026,Section A
STU-1032,DATA-101,Fall 2026,Section B
STU-1033,MATH-150,Spring 2026,Section A
STU-1033,CS-204,Spring 2026,Section A
STU-1034,DATA-101,Spring 2026,Section B
STU-1034,MATH-150,Spring 2026,Section A
STU-1035,DATA-101,Fall 2026,Section C
STU-1035,CS-204,Fall 2026,Section C
STU-1036,STAT-301,Spring 2026,Section C
STU-1036,CS-204,Spring 2026,Section C
STU-1037,STAT-301,Spring 2026,Section C
STU-1037,CS-204,Fall 2026,Section C
STU-1037,DATA-101,Spring 2026,Section B
STU-1038,CS-204,Spring 2026,Section C
STU-1038,STAT-301,Spring 2026,Section A
STU-1038,MATH-150,Spring 2026,Section A
STU-1039,STAT-301,Fall 2026,Section C
STU-1039,CS-204,Spring 2026,Section A
STU-1040,STAT-301,Spring 2026,Section C
STU-1040,MATH-150,Fall 2026,Section A
STU-1041,STAT-301,Spring 2026,Section C
STU-1041,DATA-101,Spring 2026,Section C
STU-1042,DATA-101,Spring 2026,Section C
STU-1042,CS-204,Spring 2026,Section A
STU-1043,DATA-101,Spring 2026,Section C
STU-1043,CS-204,Fall 2026,Section B
STU-1044,CS-204,Fall 2026,Section B
STU-1044,STAT-301,Spring 2026,Section B
STU-1045,CS-204,Fall 2026,Section A
STU-1045,STAT-301,Spring 2026,Section C
STU-1045,MATH-150,Fall 2026,Section B
STU-1046,DATA-101,Spring 2026,Section B
STU-1046,MATH-150,Fall 2026,Section A
STU-1047,MATH-150,Spring 2026,Section A
STU-1047,DATA-101,Spring 2026,Section A
STU-1048,MATH-150,Spring 2026,Section B
STU-1048,STAT-301,Spring 2026,Section C
STU-1049,MATH-150,Spring 2026,Section C
STU-1049,STAT-301,Spring 2026,Section A
STU-1050,CS-204,Spring 2026,Section A
STU-1050,MATH-150,Fall 2026,Section C
STU-1051,MATH-150,Fall 2026,Section C
STU-1051,CS-204,Fall 2026,Section C
STU-1052,DATA-101,Spring 2026,Section A
STU-1052,STAT-301,Fall 2026,Section B
STU-1053,STAT-301,Fall 2026,Section B
STU-1053,DATA-101,Spring 2026,Section B
STU-1053,MATH-150,Spring 2026,Section B
STU-1054,DATA-101,Fall 2026,Section C
STU-1054,MATH-150,Spring 2026,Section A
STU-1055,STAT-301,Fall 2026,Section C
STU-1055,DATA-101,Spring 2026,Section A
STU-1056,STAT-301,Fall 2026,Section B
STU-1056,DATA-101,Spring 2026,Section C
STU-1057,MATH-150,Spring 2026,Section B
STU-1057,CS-204,Fall 2026,Section A
STU-1058,MATH-150,Fall 2026,Section C
STU-1058,CS-204,Spring 2026,Section A
STU-1058,STAT-301,Spring 2026,Section B
STU-1059,MATH-150,Fall 2026,Section C
STU-1059,CS-204,Spring 2026,Section C
STU-1060,DATA-101,Fall 2026,Section C
STU-1060,MATH-150,Spring 2026,Section C
STU-1061,DATA-101,Fall 2026,Section C
STU-1061,STAT-301,Fall 2026,Section C
STU-1061,MATH-150,Fall 2026,Section B
STU-1062,DATA-101,Fall 2026,Section B
STU-1062,MATH-150,Fall 2026,Section A
STU-1062,STAT-301,Spring 2026,Section A
STU-1063,STAT-301,Spring 2026,Section A
STU-1063,CS-204,Spring 2026,Section B
STU-1063,DATA-101,Fall 2026,Section B
STU-1064,STAT-301,Spring 2026,Section A
STU-1064,CS-204,Fall 2026,Section A
STU-1065,CS-204,Fall 2026,Section B
STU-1065,MATH-150,Fall 2026,Section A
STU-1065,DATA-101,Spring 2026,Section B
STU-1066,CS-204,Fall 2026,Section A
STU-1066,DATA-101,Fall 2026,Section B
STU-1066,MATH-150,Spring 2026,Section A
STU-1067,CS-204,Spring 2026,Section B
STU-1067,MATH-150,Spring 2026,Section A
STU-1068,CS-204,Fall 2026,Section B
STU-1068,DATA-101,Spring 2026,Section A
STU-1069,DATA-101,Spring 2026,Section C
STU-1069,CS-204,Spring 2026,Section A
STU-1070,DATA-101,Fall 2026,Section A
STU-1070,CS-204,Spring 2026,Section C
STU-1071,DATA-101,Spring 2026,Section C
STU-1071,MATH-150,Spring 2026,Section B
STU-1071,STAT-301,Fall 2026,Section C
STU-1072,CS-204,Fall 2026,Section A
STU-1072,DATA-101,Spring 2026,Section C
STU-1072,MATH-150,Spring 2026,Section A
STU-1073,MATH-150,Spring 2026,Section C
STU-1073,STAT-301,Fall 2026,Section A
STU-1074,MATH-150,Spring 2026,Section C
STU-1074,CS-204,Spring 2026,Section B
STU-1075,CS-204,Fall 2026,Section A
STU-1075,STAT-301,Fall 2026,Section B
STU-1075,MATH-150,Fall 2026,Section B
STU-1076,DATA-101,Spring 2026,Section A
STU-1076,MATH-150,Spring 2026,Section C
STU-1076,CS-204,Spring 2026,Section C
STU-1077,MATH-150,Fall 2026,Section C
STU-1077,CS-204,Spring 2026,Section B
STU-1078,MATH-150,Spring 2026,Section A
STU-1078,STAT-301,Fall 2026,Section C
STU-1079,MATH-150,Fall 2026,Section C
STU-1079,DATA-101,Fall 2026,Section B
STU-1080,MATH-150,Fall 2026,Section C
STU-1080,CS-204,Fall 2026,Section C
STU-1080,DATA-101,Spring 2026,Section C
STU-1081,STAT-301,Spring 2026,Section B
STU-1081,CS-204,Fall 2026,Section C
STU-1082,DATA-101,Spring 2026,Section A
STU-1082,CS-204,Spring 2026,Section A
STU-1083,DATA-101,Spring 2026,Section A
STU-1083,CS-204,Fall 2026,Section C
STU-1084,STAT-301,Fall 2026,Section B
STU-1084,MATH-150,Spring 2026,Section A
STU-1084,DATA-101,Spring 2026,Section B
STU-1085,CS-204,Spring 2026,Section A
STU-1085,DATA-101,Spring 2026,Section C
STU-1085,STAT-301,Spring 2026,Section A
STU-1086,CS-204,Fall 2026,Section C
STU-1086,STAT-301,Fall 2026,Section C
STU-1086,DATA-101,Fall 2026,Section A
STU-1087,CS-204,Spring 2026,Section A
STU-1087,STAT-301,Fall 2026,Section C
STU-1088,STAT-301,Fall 2026,Section B
STU-1088,MATH-150,Fall 2026,Section B
STU-1088,CS-204,Spring 2026,Section B
STU-1089,DATA-101,Spring 2026,Section B
STU-1089,STAT-301,Spring 2026,Section C
STU-1090,CS-204,Spring 2026,Section B
STU-1090,DATA-101,Spring 2026,Section B
STU-1091,MATH-150,Spring 2026,Section A
STU-1091,DATA-101,Fall 2026,Section C
STU-1092,MATH-150,Fall 2026,Section A
STU-1092,DATA-101,Fall 2026,Section B
STU-1093,DATA-101,Fall 2026,Section A
STU-1093,STAT-301,Spring 2026,Section B
STU-1094,STAT-301,Fall 2026,Section A
STU-1094,CS-204,Spring 2026,Section A
STU-1095,DATA-101,Fall 2026,Section A
STU-1095,CS-204,Spring 2026,Section A
STU-1096,MATH-150,Fall 2026,Section A
STU-1096,STAT-301,Fall 2026,Section B
STU-1096,DATA-101,Spring 2026,Section C
STU-1097,CS-204,Spring 2026,Section A
STU-1097,DATA-101,Spring 2026,Section C
STU-1098,MATH-150,Fall 2026,Section C
STU-1098,DATA-101,Fall 2026,Section B
STU-1098,STAT-301,Spring 2026,Section B
STU-1099,MATH-150,Fall 2026,Section B
STU-1099,DATA-101,Spring 2026,Section B
STU-1100,DATA-101,Fall 2026,Section B
STU-1100,CS-204,Spring 2026,Section C
STU-1101,DATA-101,Fall 2026,Section C
STU-1101,MATH-150,Fall 2026,Section C
STU-1102,CS-204,Spring 2026,Section B
STU-1102,STAT-301,Spring 2026,Section B
STU-1103,MATH-150,Fall 2026,Section A
STU-1103,DATA-101,Fall 2026,Section A
STU-1103,STAT-301,Spring 2026,Section C
STU-1104,STAT-301,Fall 2026,Section A
STU-1104,CS-204,Spring 2026,Section B
STU-1105,STAT-301,Fall 2026,Section C
STU-1105,CS-204,Fall 2026,Section A
STU-1105,MATH-150,Fall 2026,Section C
STU-1106,DATA-101,Fall 2026,Section A
STU-1106,CS-204,Fall 2026,Section A
STU-1106,STAT-301,Spring 2026,Section A
STU-1107,MATH-150,Spring 2026,Section C
STU-1107,STAT-301,Spring 2026,Section C
STU-1107,CS-204,Spring 2026,Section B
STU-1108,CS-204,Spring 2026,Section A
STU-1108,DATA-101,Spring 2026,Section A
STU-1109,CS-204,Fall 2026,Section B
STU-1109,STAT-301,Fall 2026,Section A
STU-1110,STAT-301,Spring 2026,Section A
STU-1110,MATH-150,Spring 2026,Section A
STU-1111,STAT-301,Fall 2026,Section B
STU-1111,DATA-101,Fall 2026,Section C
STU-1112,CS-204,Spring 2026,Section A
STU-1112,MATH-150,Spring 2026,Section A
STU-1113,CS-204,Spring 2026,Section A
STU-1113,DATA-101,Fall 2026,Section B
STU-1114,CS-204,Fall 2026,Section A
STU-1114,MATH-150,Fall 2026,Section A
STU-1114,DATA-101,Spring 2026,Section A
STU-1115,CS-204,Fall 2026,Section B
STU-1115,MATH-150,Fall 2026,Section B
STU-1116,CS-204,Spring 2026,Section C
STU-1116,MATH-150,Fall 2026,Section C
STU-1117,MATH-150,Fall 2026,Section A
STU-1117,STAT-301,Fall 2026,Section A
STU-1117,DATA-101,Fall 2026,Section C
STU-1118,STAT-301,Spring 2026,Section C
STU-1118,CS-204,Fall 2026,Section A
STU-1119,CS-204,Fall 2026,Section B
STU-1119,STAT-301,Fall 2026,Section A
STU-1119,MATH-150,Spring 2026,Section A
STU-1120,MATH-150,Spring 2026,Section C
STU-1120,DATA-101,Fall 2026,Section A
STU-1120,STAT-301,Spring 2026,Section C
STU-1121,STAT-301,Fall 2026,Section B
STU-1121,CS-204,Spring 2026,Section C
STU-1121,MATH-150,Spring 2026,Section C
STU-1122,MATH-150,Spring 2026,Section C
